KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1001328426","T32S R1W, Sec. 4,   NE NE SW NW","Continental Oil Co.","BEREXCO LLC","Wellington Unit 106","15-191-10259","1243 DF","Strip/Sample Logs","Sample Log","3370","3691","","Scanned","03/61/1937"
"1001328429","T32S R1W, Sec. 4,     SW NW NW","Continental Oil Co.","BEREXCO LLC","Wellington Unit 101","15-191-10252","1234 DF","Strip/Sample Logs","Sample Log","0","3690","","Scanned","06/158/1937"
"1001328429","T32S R1W, Sec. 4,     SW NW NW","Continental Oil Co.","BEREXCO LLC","Wellington Unit 101","15-191-10252","1234 DF","Strip/Sample Logs","Sample Log","0","3699","","Scanned","02/55/1937"
"1001328429","T32S R1W, Sec. 4,     SW NW NW","Continental Oil Co.","BEREXCO LLC","Wellington Unit 101","15-191-10252","1234 DF","Strip/Sample Logs","Sample Log","0","3675","","Scanned","05/139/1937"
"1001328430","T32S R1W, Sec. 4,     NE NW NW","Continental Oil Co.","BEREXCO LLC","Wellington Unit 94","15-191-10261","1244 DF","Strip/Sample Logs","Sample Log","3400","3681","","Scanned","12/358/1936"
"1001328431","T32S R1W, Sec. 4,     NW NW NW","Continental Oil Co.","","Rothrock 1","15-191-10260","1230 DF","Strip/Sample Logs","Sample Log","0","3669","","Scanned","11/316/1936"
"1001328431","T32S R1W, Sec. 4,     NW NW NW","Continental Oil Co.","","Rothrock 1","15-191-10260","1230 DF","Strip/Sample Logs","Sample Log","3340","3669","","Scanned","11/316/1936"
"1001328432","T32S R1W, Sec. 5,     NE NE NW","Amerada Petroleum Corp.","","Nelson 1","15-191-10283","1235 DF","Strip/Sample Logs","Sample Log","120","3692","","Scanned","05/146/1937"
"1001328439","T32S R1W, Sec. 5,     NW NW SE","Transwestern Oil Co.","","McKee 1","15-191-10277","1234 DF","Strip/Sample Logs","Sample Log","0","3700","","Scanned","04/115/1937"
"1001328440","T32S R1W, Sec. 5,     NE NE SE","Transwestern Oil Co.","","Wellington Unit 116-INJ","15-191-10276","1226 DF","Strip/Sample Logs","Sample Log","0","3705","","Scanned","07/198/1937"
"1001328441","T32S R1W, Sec. 5,     NE NE SW","Rose Spring Drilling Co.","","White 1","15-191-10285","1218 DF","Strip/Sample Logs","Sample Log","150","3695","","Scanned","11/333/1936"
"1001328441","T32S R1W, Sec. 5,     NE NE SW","Rose Spring Drilling Co.","","White 1","15-191-10285","1218 DF","Strip/Sample Logs","Sample Log","160","3695","","Scanned","11/333/1936"
"1001328443","T32S R1W, Sec. 5,     NE NE NE","Texas Co.","","Carr, Ellis 1","15-191-10275","1223 DF","Strip/Sample Logs","Sample Log","75","3670","","Scanned","12/337/1936"
